res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
18601364,AB's - Absolute Barbecues,['Casual Dining'],https://www.zomato.com/ncr/abs-absolute-barbecues-mg-road-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop LG 1-3, MGF Metropolis Mall, MG Road, Gurgaon",Gurgaon,1,"MGF Metropolis Mall, MG Road",28.47964156,77.08108932,,1,"MGF Metropolis Mall, MG Road, Gurgaon","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",1600,3,Rs.,"['Lunch', 'Mall Parking', 'Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Fullbar', 'Air Conditioned', 'Buffet', 'Group Meal', 'Indoor Seating', 'Kid Friendly']",4.6,Excellent,4305,1850,0,-1,-1
18418247,Feel Alive,['Pub'],https://www.zomato.com/ncr/feel-alive-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"SCO 53, 2nd Floor, Main Market, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46793707,77.06413776,,1,"Sector 29, Gurgaon","North Indian, Fast Food, Italian, Asian, Continental, Bar Food",11:45 AM to 1 AM,1200,3,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Credit Card', 'Karaoke', 'Fullbar', 'Indoor Seating', 'Above 18 Only', 'Smoking Area', 'Live Sports Screening', 'Live Music', 'Air Conditioned', 'Private Dining Area Available', 'Wifi']",4.9,Excellent,2095,6768,0,-1,-1
18337894,Prankster,['Microbrewery'],https://www.zomato.com/ncr/prankster-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Site 8-10, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46899664,77.06330962,,1,"Sector 29, Gurgaon","Bar Food, Modern Indian",12:30 PM to 1 AM,1500,3,Rs.,"['Cash', 'Dinner', 'Lunch', 'Debit Card', 'Credit Card', 'Smoking Area', 'Fullbar', 'Outdoor Seating', 'Wifi', 'Table booking recommended', 'Craft Beer', 'Indoor Seating', 'Live Sports Screening', 'Digital Payments Accepted', 'Air Conditioned', 'Nightlife', 'Above 18 Only']",4.2,Very Good,4899,17702,0,-1,-1
18463965,Vapour Bar Exchange,['Microbrewery'],https://www.zomato.com/ncr/vapour-bar-exchange-golf-course-road-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Global Foyer Mall, Golf Course Road, Gurgaon",Gurgaon,1,"Global Foyer Mall, Golf Course Road",28.46057667,77.09494192,,1,"Global Foyer Mall, Golf Course Road, Gurgaon","Continental, Italian, American, North Indian",12 Noon to 12 Midnight,1600,3,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Mall Parking', 'Credit Card', 'Lunch', 'Table Reservation Not Required', 'Live Sports Screening', 'Craft Beer', 'Indoor Seating', 'Above 18 Only', 'Air Conditioned', 'Nightlife', 'Fullbar']",4.8,Excellent,1017,2305,0,1,-1
18579383,The Barbeque Company,['Casual Dining'],https://www.zomato.com/ncr/the-barbeque-company-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"SCO 305, 1st & 2nd Floor, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46397958,77.06405796,122002,1,"Sector 29, Gurgaon","North Indian, Chinese, BBQ","12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",1200,3,Rs.,"['Lunch', 'Serves Alcohol', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Live Sports Screening', 'Fullbar', 'Air Conditioned', 'Wheelchair Accessible', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required', 'Buffet']",4.3,Very Good,2213,1514,0,1,-1
496,Bikanervala,['Sweet Shop'],https://www.zomato.com/ncr/bikanervala-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 3-5, Sector 29,Near Leisure Valley Park,  Gurgaon",Gurgaon,1,Sector 29,28.46851681,77.06357248,122002,1,"Sector 29, Gurgaon","Mithai, Street Food, South Indian, North Indian, Chinese",8 AM to 11 PM,600,2,Rs.,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Breakfast', 'Sodexo', 'Air Conditioned', 'Indoor Seating', 'Ticket Restaurant', 'Pure Veg', 'Desserts and Bakes']",4.1,Very Good,2316,1580,0,-1,-1
496,Bikanervala,['Sweet Shop'],https://www.zomato.com/ncr/bikanervala-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 3-5, Sector 29,Near Leisure Valley Park,  Gurgaon",Gurgaon,1,Sector 29,28.46851681,77.06357248,122002,1,"Sector 29, Gurgaon","Mithai, Street Food, South Indian, North Indian, Chinese",8 AM to 11 PM,600,2,Rs.,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Breakfast', 'Sodexo', 'Air Conditioned', 'Indoor Seating', 'Ticket Restaurant', 'Pure Veg', 'Desserts and Bakes']",4.1,Very Good,2316,1580,0,-1,-1
18289242,Cyber Hub Social,['Lounge'],https://www.zomato.com/CyberHubSocial?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 4A, Ground Floor, DLF Cyber Hub, Tower 8C, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.49423603,77.08838727,,1,"Cyber Hub, DLF Cyber City, Gurgaon","Continental, American, Asian, North Indian, European","11am – 1am (Mon, Tue, Thu, Fri, Sat, Sun), 11am – 12:30AM (Wed)",2200,4,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Live Sports Screening', 'Fullbar', 'Table reservation required', 'Digital Payments Accepted', 'Wifi', 'Nightlife', 'Indoor Seating', 'Restricted Entry', 'Air Conditioned', 'Smoking Area']",4.4,Very Good,3548,3533,0,1,-1
306153,Dhaba - Estd 1986 Delhi,['Casual Dining'],https://www.zomato.com/ncr/dhaba-estd-1986-delhi-dlf-cyber-city-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.49536988,77.08874702,122002,1,"Cyber Hub, DLF Cyber City, Gurgaon",North Indian,"12noon – 4pm, 6:30pm – 11:30pm (Mon-Sun)",2200,4,Rs.,"['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned']",4.5,Excellent,3231,1741,0,1,-1
18759923,Duty Free | Vayu Bar,['Microbrewery'],https://www.zomato.com/ncr/duty-free-vayu-bar-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"SCO - 32, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46835176,77.06276413,,1,"Sector 29, Gurgaon","Continental, Mexican, North Indian, Italian, Asian",12 Noon to 1 AM,1700,3,Rs.,"['Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Smoking Area', 'Live Sports Screening', 'Craft Beer', 'Outdoor Seating', 'Live Music', 'Rooftop', 'Free Wifi', 'Sneakpeek', 'DJ', 'Nightlife', 'Fullbar', 'Beer', 'Indoor Seating', 'Air Conditioned']",4.1,Very Good,1370,2218,0,-1,-1
306046,SodaBottleOpenerWala,['Casual Dining'],https://www.zomato.com/ncr/sodabottleopenerwala-dlf-cyber-city-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.4945861,77.0886758,122002,1,"Cyber Hub, DLF Cyber City, Gurgaon","Parsi, North Indian, Maharashtrian, Beverages, Bakery",8:30am – 12midnight (Mon-Sun),1700,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Air Conditioned', 'Wifi', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Smoking Area']",4.3,Very Good,4185,4324,0,1,-1
18168152,Barbeque Nation,['Casual Dining'],https://www.zomato.com/ncr/barbeque-nation-sohna-road-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop No G85 Spaze Platinum Tower, Ground Floor, Gurgaon-Sohna Highway, Sector 47, Gurugram, Haryana 122018.   ",Gurgaon,1,Sohna Road,28.42179612,77.04059802,,1,"Sohna Road, Gurgaon","North Indian, Chinese, BBQ","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",1600,3,Rs.,"['Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Serves Alcohol', 'Dinner', 'Buffet', 'Fullbar', 'Live Music', 'Table booking recommended', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned']",4.2,Very Good,1141,902,0,-1,-1
5004,Om Sweets & Snacks,['Quick Bites'],https://www.zomato.com/ncr/om-sweets-snacks-sector-31-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"SCO 17, Main Market, Sector 31, Gurgaon",Gurgaon,1,Sector 31,28.45323374,77.05057986,0,1,"Sector 31, Gurgaon","North Indian, Mithai, Fast Food, South Indian, Chinese",8am – 10:30pm (Mon-Sun),500,2,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes']",4.2,Very Good,2047,503,0,1,-1
18863320,Unplugged Courtyard,['Casual Dining'],https://www.zomato.com/ncr/unplugged-courtyard-udyog-vihar-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Plot 269, Phase II, Udyog Vihar, Gurgaon",Gurgaon,1,Udyog Vihar,28.506851,77.085383,,1,"Udyog Vihar, Gurgaon","North Indian, Continental, Momos",12 Noon to 1 AM,1500,3,Rs.,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Sneakpeek', 'Nightlife', 'Fullbar', 'Live Music', 'Table booking recommended', 'Axis Bank - Dining Delights', 'Smoking Area']",4.3,Very Good,921,2013,0,-1,-1
18656043,Pra Pra Prank,['Casual Dining'],https://www.zomato.com/ncr/pra-pra-prank-dlf-cyber-city-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 24, Ground Floor, Cyber Hub, Sector 24, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.49479795,77.08772745,,1,"Cyber Hub, DLF Cyber City, Gurgaon","Asian, Modern Indian",12 Noon to 12 Midnight,2100,4,Rs.,"['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Air Conditioned', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted']",4.2,Very Good,1768,2712,0,-1,-1
18157413,Molecule Air Bar,['Microbrewery'],https://www.zomato.com/ncr/molecule-air-bar-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"SCO 53, 4th Floor, Main Market, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46794238,77.06414446,,1,"Sector 29, Gurgaon","Bar Food, North Indian",12 Noon to 1 AM,1500,3,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Live Sports Screening', 'Sports TV', 'Live Music', 'Rooftop', 'Table booking recommended', 'Wifi', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Smoking Area', 'Craft Beer', 'DJ']",4.3,Very Good,5068,9905,0,-1,-1
18649486,The Drunken Botanist,['Bar'],https://www.zomato.com/ncr/the-drunken-botanist-dlf-cyber-city-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Unit 1B & 1C, Upper Ground Floor-C, Building 10C, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.4936741,77.0883343,,1,"Cyber Hub, DLF Cyber City, Gurgaon","Continental, Italian, North Indian, Chinese",Mon-Sun (12 Noon to 1 AM),2000,4,Rs.,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Debit Card', 'Nightlife', 'Indoor Seating', 'Table booking recommended', 'DJ', 'Fullbar', 'Air Conditioned', 'Smoking Area']",4.4,Very Good,5554,7475,0,-1,-1
18601364,AB's - Absolute Barbecues,['Casual Dining'],https://www.zomato.com/ncr/abs-absolute-barbecues-mg-road-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop LG 1-3, MGF Metropolis Mall, MG Road, Gurgaon",Gurgaon,1,"MGF Metropolis Mall, MG Road",28.47964156,77.08108932,,1,"MGF Metropolis Mall, MG Road, Gurgaon","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",1600,3,Rs.,"['Lunch', 'Mall Parking', 'Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Fullbar', 'Air Conditioned', 'Buffet', 'Group Meal', 'Indoor Seating', 'Kid Friendly']",4.6,Excellent,4305,1850,0,-1,-1
18463965,Vapour Bar Exchange,['Microbrewery'],https://www.zomato.com/ncr/vapour-bar-exchange-golf-course-road-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Global Foyer Mall, Golf Course Road, Gurgaon",Gurgaon,1,"Global Foyer Mall, Golf Course Road",28.46057667,77.09494192,,1,"Global Foyer Mall, Golf Course Road, Gurgaon","Continental, Italian, American, North Indian",12 Noon to 12 Midnight,1600,3,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Mall Parking', 'Credit Card', 'Lunch', 'Table Reservation Not Required', 'Live Sports Screening', 'Craft Beer', 'Indoor Seating', 'Above 18 Only', 'Air Conditioned', 'Nightlife', 'Fullbar']",4.8,Excellent,1017,2305,0,1,-1
18337894,Prankster,['Microbrewery'],https://www.zomato.com/ncr/prankster-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Site 8-10, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46899664,77.06330962,,1,"Sector 29, Gurgaon","Bar Food, Modern Indian",12:30 PM to 1 AM,1500,3,Rs.,"['Cash', 'Dinner', 'Lunch', 'Debit Card', 'Credit Card', 'Smoking Area', 'Fullbar', 'Outdoor Seating', 'Wifi', 'Table booking recommended', 'Craft Beer', 'Indoor Seating', 'Live Sports Screening', 'Digital Payments Accepted', 'Air Conditioned', 'Nightlife', 'Above 18 Only']",4.2,Very Good,4899,17702,0,-1,-1
18579383,The Barbeque Company,['Casual Dining'],https://www.zomato.com/ncr/the-barbeque-company-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"SCO 305, 1st & 2nd Floor, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46397958,77.06405796,122002,1,"Sector 29, Gurgaon","North Indian, Chinese, BBQ","12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",1200,3,Rs.,"['Lunch', 'Serves Alcohol', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Live Sports Screening', 'Fullbar', 'Air Conditioned', 'Wheelchair Accessible', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required', 'Buffet']",4.3,Very Good,2213,1514,0,1,-1
18289242,Cyber Hub Social,['Lounge'],https://www.zomato.com/CyberHubSocial?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 4A, Ground Floor, DLF Cyber Hub, Tower 8C, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.49423603,77.08838727,,1,"Cyber Hub, DLF Cyber City, Gurgaon","Continental, American, Asian, North Indian, European","11am – 1am (Mon, Tue, Thu, Fri, Sat, Sun), 11am – 12:30AM (Wed)",2200,4,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Live Sports Screening', 'Fullbar', 'Table reservation required', 'Digital Payments Accepted', 'Wifi', 'Nightlife', 'Indoor Seating', 'Restricted Entry', 'Air Conditioned', 'Smoking Area']",4.4,Very Good,3548,3533,0,1,-1
306153,Dhaba - Estd 1986 Delhi,['Casual Dining'],https://www.zomato.com/ncr/dhaba-estd-1986-delhi-dlf-cyber-city-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.49536988,77.08874702,122002,1,"Cyber Hub, DLF Cyber City, Gurgaon",North Indian,"12noon – 4pm, 6:30pm – 11:30pm (Mon-Sun)",2200,4,Rs.,"['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned']",4.5,Excellent,3231,1741,0,1,-1
18759923,Duty Free | Vayu Bar,['Microbrewery'],https://www.zomato.com/ncr/duty-free-vayu-bar-sector-29-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"SCO - 32, Sector 29, Gurgaon",Gurgaon,1,Sector 29,28.46835176,77.06276413,,1,"Sector 29, Gurgaon","Continental, Mexican, North Indian, Italian, Asian",12 Noon to 1 AM,1700,3,Rs.,"['Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Smoking Area', 'Live Sports Screening', 'Craft Beer', 'Outdoor Seating', 'Live Music', 'Rooftop', 'Free Wifi', 'Sneakpeek', 'DJ', 'Nightlife', 'Fullbar', 'Beer', 'Indoor Seating', 'Air Conditioned']",4.1,Very Good,1370,2218,0,-1,-1
306046,SodaBottleOpenerWala,['Casual Dining'],https://www.zomato.com/ncr/sodabottleopenerwala-dlf-cyber-city-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.4945861,77.0886758,122002,1,"Cyber Hub, DLF Cyber City, Gurgaon","Parsi, North Indian, Maharashtrian, Beverages, Bakery",8:30am – 12midnight (Mon-Sun),1700,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Air Conditioned', 'Wifi', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Smoking Area']",4.3,Very Good,4185,4324,0,1,-1
